vc,owner,managed_by_csa,env_name,server_group_name,vm_id,uuid,name,overall_status,ip_address,mac_address,datacenter,cluster_compute_resource,resource_pool
cdl,,N,,,vm-540,421fe6b0-9096-b49d-6039-fec102f5be32,CSA4.0+WIN2K12,null,n/a,00:50:56:9f:7d:a8,CSL,CSL-Lab1,
cdl,,N,,,vm-540,421fe6b0-9096-b49d-6039-fec102f5be32,CSA4.0+WIN2K12,null,n/a,00:50:56:9f:7d:a8,CSL,CSA QA,
JJ,,N,,,vm-4781,42040482-ee61-d901-f42e-8752d81d404e,CSA4.01-NA-BKUP,null,16.77.19.243,00:50:56:84:32:e7,CSL-JJ,C2,
JJ,,N,,,vm-4967,4204ccdf-da5a-e239-5f5b-65659bb7c670,CSA4.01-OO10.02,null,16.77.19.24,00:50:56:84:46:0a,CSL-JJ,C2,
JJ,,N,,,vm-7079,42040fe5-81df-aaf9-9244-a5c1793aaec1,CSA4.01-OO10.02 for OpenStack Dev,null,16.77.19.9,00:50:56:84:0e:33,CSL-JJ,C2,
JJ,,N,,,vm-6753,4204731f-9733-1386-182c-9e39d2f0606e,CSA4.01-OO10.02-Dev,null,16.77.19.45,00:50:56:84:46:17,CSL-JJ,C2,
JJ,,N,,,vm-7082,42043b27-13e8-24b4-4bc7-76b7838be7c7,CSA4.01-OO10.02-DEV2,null,16.77.19.38,00:50:56:84:46:2c,CSL-JJ,C2,
JJ,,N,,,vm-6173,42040ec7-c634-7873-01c5-030f185f97b3,CSA4.0-OO10.02-OP,null,16.77.19.54,00:50:56:84:33:07,CSL-JJ,C2,
JJ,,N,,,vm-6921,42041f67-371d-26e6-50fb-b4cfc8653b93,CSA4.1 -OO9.07,null,16.77.19.65,00:50:56:84:45:95,CSL-JJ,C2,
JJ,,N,,,vm-6883,42042daf-80b3-12e3-83e3-2d6d1322186d,CSA4.1_OO10.10,null,16.77.19.100,00:50:56:84:32:f2,CSL-JJ,C2,
JJ,,N,,,vm-7004,4204f14b-e49c-1e05-b5f5-f5f701d1d15a,CSA4.1B1499-AJ,null,16.77.19.211,00:50:56:84:32:28,CSL-JJ,C2,
JJ,,N,,,vm-6958,4204e4b1-82ad-fd46-f283-16b139eb4dc1,CSA4.1-OO10.10,null,16.77.20.28,00:ff:c9:a8:c3:03,CSL-JJ,C2,
JJ,,N,,,vm-6317,4204bcb0-222f-5b01-8ac1-3550946fe874,CSA4.1OO10.10 DEV,null,16.77.19.19,00:50:56:84:0e:2a,CSL-JJ,C2,
JJ,,N,,,vm-6547,4204736b-210d-3660-11b5-ac5a8eda0fd3,CSA4.1-OO10.10-Lab01,null,16.77.19.66,00:50:56:84:04:3d,CSL-JJ,C2,
JJ,,N,,,vm-7092,42046083-d3c8-1bea-0ced-4e22e94339a5,CSA4.1-OO9.07-Testing,null,16.77.19.76,00:50:56:84:45:a1,CSL-JJ,C2,
JJ,,N,,,vm-6525,4204e3b7-1f0b-03ab-50dc-ae3f4e3bdef6,CSA4.1-oo9070008,null,16.77.19.24,00:50:56:84:45:99,CSL-JJ,C2,
cdl,,N,,,vm-427,421f0338-f6bd-4ee9-0717-8fce734e820f,CSA40,null,n/a,00:50:56:9f:21:46,CSL,CSL-Lab1,
JJ,,N,,,vm-6833,42045b3e-27fe-c269-c09a-6a35202b90ba,CSA40 OO1001-OLD,null,n/a,00:50:56:84:30:4a,CSL-JJ,C2,
AO,,N,,,vm-27026,4224e910-8d1e-4698-b9a0-c7491038ce4e,CSA40+CP301,null,n/a,00:50:56:a4:0d:7b,MiniLIT-Unit,Cloud-001,
JJ,,N,,,vm-6759,4204c8ce-6824-8b6f-d1e6-8dd88d8e6aaf,CSA40+CP301,null,n/a,00:50:56:84:30:79,CSL-JJ,C2,
AO,,N,,,vm-27016,4224b125-543a-32bd-fa38-7bbed3550d3c,CSA40+CP301+CP4,null,n/a,00:50:56:a4:0d:71,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-136,421ff52d-7d4b-a761-da36-08c1a9f628e7,CSA40+CP301+CP4,null,10.1.12.12,00:50:56:9f:58:17,CSL-Cluster,CSL,
JJ,,N,,,vm-1795,4204abbd-dd8f-0f5b-cd60-e784e255d6f2,CSA40+CP301+CP4,null,n/a,00:50:56:84:30:75,CSL-JJ,C2,
AO,,N,,,vm-27019,4224fbcc-a571-0608-f280-43f9fdd50a72,CSA40+CP4,null,n/a,00:50:56:a4:0d:73,MiniLIT-Unit,Cloud-001,
JJ,,N,,,vm-4469,42043bde-7fd4-a6a5-0ad4-20852a050818,CSA40+CP4,null,n/a,00:50:56:84:30:76,CSL-JJ,C2,
AO,,N,,,vm-27018,42246cf6-f876-2181-4488-2e116ba83433,CSA40+OO1001,null,n/a,00:50:56:a4:0d:72,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-20732,421bcf7d-eab2-8d5f-c31c-2860897934be,CSA40+OO1001,null,10.1.5.31,00:50:56:9b:3c:8f,CSL-Cluster,CSL,
JJ,,N,,,vm-6526,42040c92-bae5-da8f-2f7c-d6a0c590748f,CSA40+OO1001,null,n/a,00:50:56:84:30:77,CSL-JJ,C2,
cdl,,N,,,vm-9257,421bec1b-72ed-8560-c940-9a3d3d744563,csa40+oo1002,null,10.1.15.117,00:50:56:9b:21:6c,CSL-Cluster,CSL,
cdl,,N,,,vm-308,421f2ab1-3bae-734d-4717-a95fb0b0cdaf,CSA40+OO1002,null,10.1.12.46,00:50:56:9f:23:b9,CSL-Cluster,CSL,
AO,,N,,,vm-27032,422427cf-4d79-f1fe-2fc6-38e6afe115f1,CSA40+OO907,null,16.78.117.40,00:50:56:a4:0d:83,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-311,564d5360-67e0-6305-df93-c2a436944fde,CSA40+OO907,null,10.1.13.108,00:50:56:9f:20:df,CSL-Cluster,CSL,
JJ,,N,,,vm-6825,4204b4c3-c39c-4710-e73d-58d18d0ac014,CSA40+OO907,null,16.77.19.80,00:50:56:84:30:78,CSL-JJ,C2,
JJ,,N,,,vm-7040,42042b66-a4c8-8396-7ffb-3c34312f7d8a,CSA401 OO1002,null,n/a,00:50:56:84:31:5c,CSL-JJ,C2,
JJ,,N,,,vm-6378,4204feec-885f-2f44-bdee-bf52b022236c,CSA401_OO1002_From_VM01,null,16.77.19.11,00:50:56:84:31:f8,CSL-JJ,C2,CSL-OVDC1 (fba45087-ddf8-4da9-88da-3d7dd323f22a)
JJ,,N,,,vm-6222,4204fceb-665b-d2e4-5ce1-1aca8ea03532,CSA401_OO1010,null,16.77.19.148,00:50:56:84:33:40,CSL-JJ,C2,
AO,,N,,,vm-28013,42245064-8c5d-8807-e842-0c0e4c2120fd,CSA401+OO1002,null,16.78.123.24,00:50:56:a4:10:33,MiniLIT-Unit,Cloud-001,CSL-RP-TEST
cdl,,N,,,vm-20734,421b503a-1c0a-0513-f444-3e43b8290e55,CSA401+OO1002,null,10.1.4.234,00:50:56:9b:25:87,CSL-Cluster,CSL,
JJ,,N,,,vm-5651,4204b990-124a-10bb-9012-f3d6c33bf92c,CSA401+OO1002,null,16.77.19.252,00:50:56:84:31:49,CSL-JJ,C2,CSL-OVDC1 (fba45087-ddf8-4da9-88da-3d7dd323f22a)
JJ,,N,,,vm-6944,42047134-9630-a474-b959-d69c2b06450c,CSA401+oo1002,null,16.77.19.228,00:50:56:84:32:31,CSL-JJ,C2,
cdl,,N,,,vm-20740,421b50b7-310e-255b-6b3e-e785eb20d059,CSA401+OO1002+CP4,null,10.1.5.130,00:50:56:9b:70:26,CSL-Cluster,CSL,
